"REC" "FRE" "MON" "CC_CARD" "AVRG" "PC_CALC20" "PSWEATERS" "PKNIT_TOPS" "PKNIT_DRES" "PBLOUSES" "PJACKETS" "PCAR_PNTS" "PCAS_PNTS" "PSHIRTS" "PDRESSES" "PSUITS" "POUTERWEAR" "PJEWELRY" "PFASHION" "PLEGWEAR" "PCOLLSPND" "AMSPEND" "PSSPEND" "CCSPEND" "AXSPEND" "OMONSPEND" "PREVPD" "GMP" "PROMOS" "DAYS" "FREDAYS" "MARKDOWN" "CLASSES" "COUPONS" "STYLES" "STORES" "STORELOY" "VALPHON" "WEB" "MAILED" "RESPONDED" "RESPONSERATE" "LTFREDAY" "CLUSTYPE" "PERCRET" "RESP" "hi_trans" "amount23" "amount456"
81 9 810.69 0 90.07 11 0.55 0.02 0 0.06 0.08 0.12 0.07 0 0.07 0 0 0 0 0 0 0 387.31 395.65 27.73 0 0 0.58 12 691 76.77 0.19 9 0 27 6 71 "Y" 0 9 3 33.33 25.59 22 0 0 3.53514535417189 61.99 382.7
321 2 985 0 492.5 11 0.33 0 0 0.05 0.12 0.05 0 0.12 0 0 0.28 0.008122 0 0.01 0.18 0 58 927 0 0 985 0.7 11 330 165 0 8 0 16 2 598 "Y" 0 4 0 0 82.5 2 0 0 3.27146827498737 0 0
2 16 320.17 1 20.01 11 0.11 0.05 0.06 0.11 0 0 0.11 0.04 0 0 0 0.01 0 0.03 0 0 0 286.2 33.97 68.96 0 0.56 24 685 42.81 0.17 14 4 33 4 2691 "Y" 1 9 5 55.56 10.7 10 0.94 1 1.64480505627139 0 186.46
329 1 68 0 68 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 0 0 68 0.65 16 546 546 0 1 0 1 1 496 "Y" 0 9 1 11.11 136.5 10 0 0 4.60517018598809 0 0
47 8 345.36 1 43.17 11 0.14 0.02 0 0 0.24 0 0 0.15 0.24 0 0 0.02 0.08 0.07 0 0 0 303.37 41.99 0 102 0.52 22 692 86.5 0.26 8 1 13 3 583 "Y" 0 9 2 22.22 15.37 16 0 1 2.87976009730157 83.98 5
310 2 97.99 0 48.99 11 0 0 0 0 0 0 0 0 0.8 0 0 0.19 0 0 0.8 0 0 97.99 0 0 0 0.66 5 334 167 0 3 0 3 2 4602 "Y" 0 2 0 0 167 12 0 0 4.89589761662583 0 0
82 6 1242.4 1 207.06 11 0.1 0 0.08 0.15 0.23 0.09 0 0.07 0 0.2 0 0 0.03 0 0.38 0 0 1242.4 0 0 62.99 0.6 15 446 74.33 0.14 10 0 27 2 684 "Y" 0 4 1 25 17.84 8 0 1 3.44105891508729 479.44 0
326 1 227.99 0 227.99 11 0.12 0 0 0 0.43 0 0 0 0 0.43 0 0 0 0 0.43 0 0 227.99 0 0 227.99 0.65 14 430 430 0 3 0 3 1 684 "Y" 0 6 0 0 215 10 0 0 4.07005186965306 0 0
212 1 129.98 0 129.98 11 0 0 0 0 0.61 0.38 0 0 0 0 0 0 0 0 0 0 0 129.98 0 0 0 0.52 8 212 212 0 2 0 2 1 4690 "Y" 0 2 0 0 106 1 0 0 3.96385615406816 0 0
279 2 88.49 0 44.24 11 0.42 0 0 0 0 0 0.33 0 0 0 0 0 0 0 0 0 24.99 63.5 0 0 0 0.57 2 284 142 0.24 2 0 4 2 290 "N" 0 0 0 0 71 18 0.32 0 3.35898553285285 0 0
82 6 416.44 1 69.4 11 0.56 0.07 0.02 0 0 0 0.03 0 0 0 0.3 0 0 0 0 0 0 416.44 0 0 0 0.37 23 307 51.16 0.43 5 1 15 2 253 "Y" 0 10 1 10 43.85 16 0 0 3.72737875326455 31.49 14
333 1 242.97 1 242.97 16 0.25 0 0.06 0 0.2 0 0 0.1 0 0 0 0 0 0 0 0 193.97 49 0 0 242.97 0.59 18 563 563 0.08 6 0 11 2 2678 "Y" 0 8 1 12.5 80.42 22 0.6 0 2.60194867021966 0 0
89 6 447.2 0 74.53 11 0.39 0 0 0.04 0.36 0 0 0 0.09 0 0 0 0 0 0 0 0 447.2 0 0 103 0.59 15 355 59.16 0.15 6 0 11 1 301 "Y" 0 4 2 50 32.27 12 0.11 0 3.39484390768998 132.97 22.49
43 11 973.21 1 88.47 11 0.3 0.11 0.12 0.06 0.09 0 0.12 0.06 0 0 0 0 0.1 0 0 0 446.97 526.24 0 0 0 0.64 16 649 59 0.11 12 1 34 2 313 "Y" 0 8 1 12.5 20.93 10 0 0 2.80517691183293 259.97 73.29
90 1 135.4 0 135.4 11 0 0 0 0.35 0 0.47 0 0 0 0 0 0 0.17 0 0 0 0 135.4 0 0 0 0.63 1 90 90 0.1 3 0 3 1 304 "Y" 0 0 0 0 30 16 0 0 3.63468722503051 135.4 0
48 1 303.3 1 303.3 11 0.36 0 0 0.1 0 0.39 0.14 0 0 0 0 0 0 0 0 0 74.7 228.6 0 0 0 0.66 1 48 48 0.1 4 1 7 2 3 "Y" 1 0 0 0 4.8 15 0 0 3.4522073025699 303.3 0
216 2 88.98 0 44.49 16 0.55 0 0 0 0 0 0.16 0 0 0 0 0 0.28 0 0 0 63.99 24.99 0 0 14.99 0.44 3 326 163 0.32 3 0 4 2 2656 "Y" 0 0 0 0 108.66 16 0 0 3.71479083589844 0 0
291 1 90.99 0 90.99 11 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 90.99 0 0 0 0.48 3 291 291 0.3 1 0 1 1 375 "N" 0 2 0 0 291 8 0 0 4.60517018598809 0 0
134 2 354.97 0 177.48 11 0 0.07 0 0 0 0 0 0 0 0.92 0 0 0 0 0 0 124.99 229.98 0 0 0 0.65 10 277 138.5 0.04 3 0 5 2 2833 "N" 0 3 1 33.33 46.16 25 0 0 4.46475803227135 0 124.99
145 2 352.6 1 176.3 19 0.2 0.08 0.19 0 0 0 0.06 0.09 0.32 0 0 0 0 0.03 0 0 0 171 181.6 0 0 0.62 10 313 156.5 0.13 7 0 14 2 7011 "Y" 0 3 0 0 28.45 15 0 0 3.02529107579554 0 200.99
30 2 652.9 0 326.45 11 0.05 0 0 0.22 0.42 0.06 0 0.2 0 0 0 0.03 0 0 0.24 0 0 652.9 0 53.97 0 0.59 2 102 51 0.05 6 0 16 2 588 "Y" 0 0 0 0 17 10 0 1 3.51838764907356 0 598.93
44 10 973.85 1 97.38 16 0.02 0 0.25 0.04 0.18 0.05 0.07 0.19 0.04 0 0 0 0.01 0.02 0.18 0 774.8 136.49 62.56 0 0 0.61 16 431 43.1 0.15 13 2 40 5 2746 "Y" 0 6 2 33.33 12.31 2 0.08 0 2.92262380173335 358.93 175.98
13 9 918.25 0 102.02 15 0.16 0.009978 0.19 0 0.26 0.05 0.06 0 0.13 0 0 0.02 0 0 0 0 494.92 45 378.33 107.96 63.94 0.33 6 391 43.44 0.2 18 0 49 5 5034 "N" 0 2 1 50 30.07 11 0.09 0 2.77819796100429 0 124.95
27 6 494.38 0 82.39 16 0.24 0.01 0 0.2 0.02 0.07 0.08 0 0 0 0 0 0 0 0 0 455.38 39 0 0 0 0.44 14 618 103 0.26 10 0 27 3 2855 "Y" 0 5 1 20 36.35 30 0.53 1 2.46300181439995 222.4 0
111 3 279.93 1 93.31 11 0.13 0.17 0 0.12 0 0 0.24 0 0.12 0 0 0 0.18 0 0 0 0 279.93 0 0 0 0.62 4 181 60.33 0.13 7 1 12 1 830 "Y" 1 1 0 0 20.11 4 0 1 2.87807423008576 0 240.93
62 6 635.81 1 105.96 16 0.32 0 0.03 0 0.23 0.07 0.2 0 0.02 0 0 0.01 0 0.01 0 0 515.86 90.58 29.37 0 386 0.57 14 580 96.66 0.17 10 3 25 5 646 "Y" 0 7 2 28.57 34.11 1 0.07 1 3.04547436544881 29.37 49.98
46 3 118.45 0 39.48 11 0 0 0 0.25 0 0 0.2 0 0.54 0 0 0 0 0 0 0 0 118.45 0 0 0 0.48 5 117 39 0.28 3 0 5 1 4563 "Y" 0 0 0 0 16.71 8 0 0 3.68512240523622 78.46 39.99
348 1 224 0 224 18 0.26 0.17 0 0.21 0 0 0 0 0 0 0 0 0.16 0 0 204 0 20 0 0 0 0.64 14 348 348 0.17 6 0 8 2 3786 "Y" 0 5 0 0 174 1 0 0 2.86960199640978 0 0
292 1 40.6 0 40.6 11 0 0 0 0 0 0 0 0 0 0 0 0.13 0 0.86 0 0 0 40.6 0 0 0 0.62 12 292 292 0.18 3 0 5 1 4602 "Y" 0 4 0 0 292 16 0 0 4.33349268767803 0 0
11 2 177 0 88.5 11 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 177 0 118 0 0.66 2 218 109 0 2 0 2 1 4642 "Y" 0 0 0 0 109 42 0 0 4.60517018598809 0 0
154 3 176.96 0 58.98 11 0.11 0 0.03 0.23 0.38 0 0.22 0 0 0 0 0 0 0 0 0 0 176.96 0 0 0 0.56 6 627 209 0.1 6 0 6 2 219 "Y" 0 0 0 0 104.5 8 0 1 3.29509585077961 0 19.99
70 8 666.38 1 83.29 11 0.45 0.08 0 0 0 0 0.09 0 0.2 0 0 0 0.09 0.05 0 0 0 666.38 0 0 0 0.48 17 591 73.87 0.29 9 2 32 2 246 "Y" 0 9 3 33.33 39.4 4 0 1 3.34250838531348 173.45 237.95
303 1 328.98 0 328.98 16 0.26 0 0.06 0 0 0.38 0.06 0 0 0 0 0.22 0 0 0 0 254.98 74 0 0 0 0.67 13 303 303 0.02 7 0 12 2 1610 "Y" 0 4 0 0 151.5 1 0 0 3.32970137995709 0 0
26 2 173.98 0 86.99 19 0 0 0 0.2 0.45 0 0 0.33 0 0 0 0 0 0 0 0 0 59 114.98 114.98 0 0.67 7 577 288.5 0 3 0 3 2 4102 "N" 0 7 1 14.29 96.16 11 0 0 3.60223164738826 0 0
1 19 2409.7 1 126.82 16 0.32 0.01 0.01 0.04 0.1 0.13 0.11 0 0.02 0.009441 0 0.002817 0.01 0 0 0 2358.7 51 0 156 235.75 0.53 23 692 36.42 0.25 17 9 59 7 2836 "Y" 0 10 4 40 9.88 1 0.23 1 2.72523502585631 89.97 209.85
114 1 255 0 255 11 0.14 0 0 0 0.38 0.46 0 0 0 0 0 0 0 0 0.61 0 0 255 0 0 0 0.68 3 114 114 0 3 0 4 1 305 "Y" 0 0 0 0 114 37 0 0 4.34497357047117 0 255
95 2 212.92 0 106.46 11 0.44 0 0 0 0 0 0.3 0.25 0 0 0 0 0 0 0 0 0 58.99 153.93 0 0 0.51 22 405 202.5 0.1 5 0 9 2 3 "Y" 1 6 1 16.67 57.85 15 0 0 3.55990907281698 0 153.93
258 1 260 1 260 11 0 0 0 0.11 0.41 0.47 0 0 0 0 0 0 0 0 0.22 0 0 260 0 0 0 0.66 15 258 258 0 4 0 4 1 322 "Y" 0 6 0 0 129 14 0 0 3.82907608460722 0 0
196 8 492.28 0 61.53 11 0.16 0.02 0.1 0 0 0.25 0.03 0.13 0 0 0 0.04 0.07 0.04 0.08 0 29 423.29 39.99 0 194.74 0.59 14 685 85.62 0.17 14 0 21 5 315 "Y" 0 7 3 42.86 40.29 25 0.11 0 2.66514270009093 0 0
33 4 128.91 1 32.22 16 0.41 0.25 0 0 0 0 0.29 0 0 0 0 0.03 0 0 0 0 108.43 20.48 0 0 0 0.25 16 661 165.25 0.31 5 0 10 2 2932 "Y" 0 7 1 14.29 23.6 11 0 1 3.48523211060523 42.97 19.99
50 7 455.76 1 65.1 11 0.3 0.21 0 0 0.15 0 0.12 0 0.08 0 0 0 0.05 0.05 0 0 49.99 329.99 75.78 0 0 0.63 24 697 99.57 0.09 9 1 21 4 4247 "Y" 0 10 1 10 41 16 0 0 2.96527306606928 50.18 107.6
269 2 73.49 1 36.74 11 0.46 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 73.49 0 0 109.49 0.46 8 676 338 0.25 2 0 4 1 4634 "Y" 0 4 0 0 48.28 22 0.48 0 3.25462899457402 0 0
206 1 274.98 1 274.98 16 0.24 0 0 0 0.29 0.39 0 0 0 0 0 0 0.06 0 0 0 188.98 86 0 0 0 0.63 18 581 581 0 5 0 6 2 3025 "Y" 0 8 1 12.5 96.83 1 0 0 3.42458833445273 0 0
61 11 516.77 1 46.97 16 0.23 0.02 0 0.18 0.1 0.02 0.16 0.03 0 0 0 0.008749 0 0.04 0 0 476.27 40.5 0 0 0 0.4 17 668 60.72 0.32 12 0 29 4 2512 "Y" 0 10 5 50 26.72 6 0.21 0 2.57794151575519 34.8 121.99
9 5 240.7 0 48.14 11 0 0.03 0.05 0.14 0.24 0.12 0 0.17 0.21 0 0 0 0 0 0 0 0 240.7 0 48 0 0.33 15 551 110.2 0.37 7 1 10 1 646 "Y" 0 9 1 11.11 36.73 5 0 0 2.89977188240808 29.99 162.71
6 25 4155 1 166.2 11 0.15 0.01 0.01 0.17 0.22 0.1 0 0.05 0.09 0 0 0.003402 0.04 0.006469 0.01 61.53 0 2404.56 1688.91 522 217.94 0.59 15 526 21.04 0.14 26 6 126 4 3 "Y" 1 4 3 75 7.4 8 0.11 1 2.57184857992181 619.93 1977.33
292 4 102.97 0 25.74 11 0.34 0 0 0.16 0 0 0 0 0 0 0 0 0 0 0 0 0 69.98 32.99 0 0 0.58 17 649 162.25 0 2 0 5 3 556 "Y" 0 7 0 0 72.11 20 0.95 1 2.69530262827971 0 0
106 2 153.97 0 76.98 11 0.09 0.05 0 0 0.37 0 0 0.29 0 0 0 0 0 0 0 0 35 118.97 0 0 0 0.09 5 161 80.5 0.38 5 0 13 2 476 "Y" 0 0 0 0 17.88 32 0.21 0 3.19826487096408 0 153.97
8 10 842.3 1 84.23 11 0.23 0 0 0.09 0.3 0.25 0 0.04 0 0 0 0.02 0.03 0.007123 0.21 0 103.88 654.45 83.97 69.98 207.99 0.6 22 677 67.7 0.15 13 1 25 3 313 "Y" 0 9 3 33.33 17.81 15 0 1 3.28952066443753 46.38 208.97
320 1 101.97 0 101.97 11 0.88 0 0 0 0 0 0 0 0 0 0 0 0 0.11 0 0 0 101.97 0 0 101.97 0.55 7 320 320 0.02 2 0 5 1 65 "Y" 0 2 0 0 320 5 0 0 4.37235501497715 0 0
84 2 112 0 56 11 0.42 0 0 0 0 0 0.43 0 0 0 0 0 0 0.13 0 0 0 112 0 0 0 0.64 0 348 174 0.02 3 0 3 1 4634 "Y" 0 0 0 0 174 38 0 0 3.67122451887522 48 0
69 4 331.12 0 82.78 11 0 0 0.12 0.1 0.25 0.12 0.04 0 0 0 0 0 0 0.05 0.38 0 0 305.14 25.98 0 0 0.63 20 637 159.25 0.1 10 0 15 2 304 "N" 0 10 2 20 42.46 1 0.38 1 3.27902974768795 0 92.12
76 12 1730.41 1 144.2 11 0.23 0.004979 0 0.07 0.09 0.11 0.08 0.02 0.16 0 0.05 0 0 0.04 0.08 0 205.34 1525.07 0 0 203.5 0.59 21 695 57.91 0.22 18 2 50 4 4521 "Y" 0 7 4 57.14 10.85 3 0.1 0 2.58926666511224 77.97 797.07
55 2 544.97 0 272.48 16 0.26 0 0 0.16 0.1 0.12 0.34 0 0 0 0 0 0 0 0 0 506.97 38 0 0 0 0.62 7 188 94 0.02 7 0 13 3 2765 "N" 0 2 0 0 62.66 28 0 0 3.17888681665184 184 0
253 1 85.48 0 85.48 11 0.92 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0 0 85.48 0 0 0 0.3 15 409 409 0.44 2 0 5 1 222 "Y" 0 6 0 0 51.12 10 0 0 4.46521822556065 0 0
54 9 120.07 0 13.34 16 0.1 0 0.16 0 0 0 0.13 0 0.32 0 0 0 0 0.02 0 0 96.08 23.99 0 0 0 0.44 11 642 71.33 0.39 8 0 12 4 2800 "Y" 0 3 0 0 14.93 1 0.86 1 2.99172425215645 71.98 -32.4
181 1 89 0 89 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 89 0 0 0 0 4 181 181 0.49 1 0 7 1 222 "Y" 0 1 0 0 181 10 0 0 4.60517018598809 0 0
127 12 650.88 0 54.24 16 0.16 0.04 0.04 0.17 0.32 0 0 0.05 0 0 0 0 0.009361 0 0 0 489.19 48.74 112.95 0 362.72 0.52 15 483 40.25 0.21 9 0 24 6 2840 "N" 0 3 1 33.33 16.1 4 0.22 1 2.8225686545448 0 67.49
303 2 503 1 251.5 11 0.32 0 0 0 0.35 0.32 0 0 0 0 0 0 0 0 0.56 0 89.1 413.9 0 0 0 0.65 15 308 154 0.11 4 0 10 2 221 "Y" 0 4 0 0 30.8 3 0 0 4.17991045055175 0 0
250 1 206 0 206 11 0 0 0 0.23 0.48 0 0 0.28 0 0 0 0 0 0 0.76 0 0 206 0 0 0 0.7 7 250 250 0 3 0 3 1 301 "Y" 0 2 0 0 250 10 0 0 4.55964967068628 0 0
31 9 940.72 1 104.52 11 0.16 0.05 0 0.09 0.3 0.16 0.04 0.08 0.03 0 0 0.02 0 0 0.21 0 0 457.97 482.75 0 0 0.6 23 366 40.66 0.08 15 0 31 4 304 "Y" 0 5 3 60 17.42 3 0.03 0 3.0652583362026 225.93 42.98
118 5 641.48 0 128.29 16 0.49 0.04 0 0.09 0 0.09 0.2 0 0 0 0 0 0.05 0.009353 0 0 561.49 79.99 0 0 0 0.64 19 472 94.4 0.06 8 0 21 4 2781 "N" 0 10 3 30 47.2 11 0 0 3.42751468997953 0 350.49
101 1 109.98 0 109.98 11 0 0 0 0.23 0 0 0 0 0 0.76 0 0 0 0 0 0 0 109.98 0 0 0 0.44 4 101 101 0.15 2 1 2 1 840 "Y" 0 0 0 0 101 12 0 0 4.16651017302229 0 109.98
18 17 1626.81 1 95.69 19 0.18 0.01 0.009408 0.17 0.18 0.12 0.01 0.12 0 0 0 0.006056 0.07 0.06 0 0 0 814.85 811.96 85.95 431.9 0.48 23 657 38.64 0.27 16 6 83 11 4273 "Y" 0 6 4 66.67 12.16 18 0.01 1 2.6658383522929 271.47 155.47
75 3 237.96 0 79.32 18 0.25 0 0 0 0 0 0 0.03 0.11 0 0.58 0 0 0.01 0 0 167.49 70.47 0 0 0 0.44 10 636 212 0.4 5 0 6 3 3874 "Y" 0 6 1 16.67 106 25 0 0 3.74265715979441 27.99 0
1 22 1647.65 1 74.89 16 0.06 0.04 0 0.12 0.2 0.14 0.01 0.15 0 0 0 0.003425 0 0.001545 0.15 0 1228.93 418.72 0 93 232.74 0.61 19 678 30.81 0.16 15 10 37 7 327 "Y" 0 10 7 70 9.54 4 0.33 0 2.56571829252441 86.97 665.2
35 3 931.47 1 310.49 11 0.07 0.04 0.02 0 0.33 0.18 0.02 0.05 0.08 0 0 0.01 0.11 0.04 0.13 0 0 931.47 0 0 0 0.66 13 520 173.33 0.07 17 2 24 1 77 "Y" 0 7 1 14.29 47.27 18 0 0 3.00864849882054 155.99 253.49
328 1 107.98 0 107.98 11 0.27 0 0 0 0 0 0.18 0.53 0 0 0 0 0 0 0 0 0 107.98 0 0 107.98 0.56 10 328 328 0.07 3 0 3 2 140 "Y" 0 2 0 0 164 8 0 0 3.68862942285873 0 0
3 16 1689.65 1 105.6 11 0.23 0.07 0 0.16 0.19 0.15 0.04 0.05 0 0 0 0.01 0.02 0.02 0.07 0 0 1689.65 0 218.49 0 0.33 21 699 43.68 0.36 20 7 91 1 684 "Y" 0 10 6 60 19.41 6 0.01 0 2.79239134953596 174.41 495.43
12 5 231.9 0 46.38 16 0.21 0.12 0 0.25 0 0 0.33 0 0 0 0 0.04 0 0.02 0 0 201.91 29.99 0 107.99 17.97 0.52 10 661 132.2 0.2 8 0 12 3 2594 "Y" 0 2 0 0 50.84 2 0 0 3.18759153482843 0 54.97
197 2 482.98 0 241.49 11 0 0 0.11 0.16 0.44 0.12 0 0.11 0 0 0 0 0.04 0 0 75.98 0 407 0 0 0 0.67 4 291 145.5 0.04 6 0 9 2 152 "Y" 0 1 0 0 145.5 15 0 0 3.29583686600433 0 0
39 4 504.01 1 126 11 0.19 0.01 0.11 0.06 0.21 0.12 0.02 0.19 0 0 0 0 0 0.03 0.33 321.27 0 182.74 0 0 321.27 0.61 13 362 90.5 0.16 11 1 15 4 4685 "Y" 0 4 1 25 72.4 37 0 0 3.29953372788566 24.49 80.25
285 1 139.5 0 139.5 11 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 139.5 0 0 0 0.5 8 285 285 0.5 1 0 1 1 4635 "Y" 0 4 0 0 285 12 0 0 4.60517018598809 0 0
306 1 99.99 0 99.99 11 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 99.99 0 0 0 0.53 4 643 643 0 1 0 1 1 4512 "N" 0 1 0 0 321.5 35 0 0 4.60517018598809 0 0
9 35 1953.41 1 55.81 11 0.21 0.05 0.01 0.01 0.25 0.13 0.01 0.01 0 0.02 0 0.003691 0.01 0.004746 0.04 0 0 1845 108.41 19.96 419.73 0.52 30 701 20.02 0.28 20 8 67 7 315 "Y" 0 10 7 70 6.74 18 0.28 1 2.61666563930036 131.99 29.73
313 1 168.74 0 168.74 11 0.28 0 0 0 0 0.22 0.43 0 0 0 0 0.06 0 0 0 0 0 168.74 0 0 168.74 0.52 12 313 313 0.25 4 0 6 1 4582 "Y" 0 2 0 0 313 32 0 0 3.46979017312777 0 0
86 4 299.44 0 74.86 16 0.12 0 0 0.06 0 0.2 0.13 0 0 0 0.46 0 0 0 0 0 289.09 10.35 0 0 0 0.45 15 483 120.75 0.42 6 1 6 4 2729 "Y" 0 5 1 20 37.15 12 0 0 3.39249294103201 91.96 0
72 16 1233.63 0 77.1 11 0.15 0.03 0.13 0.03 0.06 0.13 0.02 0 0 0 0 0 0 0 0.05 0 91 995.69 146.94 0 118 0.65 20 632 39.5 0.03 13 1 49 3 723 "N" 0 8 3 37.5 19.75 36 0.72 0 1.92861865194525 151.48 251.19
251 1 68 0 68 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 0 0 0 0.38 0 251 251 0.5 1 0 4 1 233 "N" 0 0 0 0 251 6 0 0 4.60517018598809 0 0
53 4 208.73 1 52.18 11 0.19 0 0 0 0 0 0.07 0 0 0.64 0 0 0 0 0 0 0 208.73 0 0 0 0.39 5 346 86.5 0.29 4 1 6 1 4634 "Y" 0 2 0 0 43.25 15 0.09 0 3.81990771652034 0 164.63
339 1 333 0 333 11 0.88 0 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 333 0 0 0 0.57 9 339 339 0.25 2 0 13 1 655 "N" 0 3 0 0 339 15 0 0 4.37336422409523 0 0
84 4 383.46 1 95.86 11 0.09 0.02 0 0.11 0 0.08 0.02 0.1 0 0.1 0 0 0 0 0.15 0 0 383.46 0 0 68.99 0.61 13 656 164 0.14 9 0 18 1 115 "Y" 0 6 2 33.33 36.44 5 0.79 0 2.04122032885964 208.47 0
283 1 104.48 0 104.48 11 0.23 0 0 0 0.47 0 0.28 0 0 0 0 0 0 0 0 0 0 104.48 0 0 0 0.52 12 283 283 0.18 3 0 3 1 4549 "Y" 0 3 0 0 283 1 0 0 3.60086757679072 0 0
145 3 495.73 0 165.24 16 0.14 0.05 0 0.08 0.31 0.21 0 0.17 0 0 0 0 0 0 0.31 0 458.97 36.76 0 0 0 0.6 17 537 179 0.19 9 0 13 3 2647 "Y" 0 9 2 22.22 59.66 8 0 0 3.44489523692787 0 87
131 8 682.11 1 85.26 11 0.31 0.02 0 0.13 0.1 0.18 0.1 0 0 0 0 0 0.03 0.01 0.18 0 21.75 660.36 0 0 0 0.5 26 502 62.75 0.17 11 0 24 4 4546 "Y" 0 10 4 40 29.52 13 0.39 0 3.19581188526965 0 62
48 4 631.93 0 157.98 16 0.61 0 0 0.07 0 0.17 0.05 0 0 0 0 0 0 0 0.08 0 500.97 130.96 0 0 233.99 0.6 18 350 87.5 0.1 7 0 19 3 2594 "Y" 0 6 0 0 35 16 0.07 0 3.76329095162775 89.94 0
269 2 98.2 1 49.1 11 0.37 0.54 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0 0 36.75 61.45 0 0 0.49 10 341 170.5 0.24 3 0 8 3 980 "Y" 0 2 0 0 48.71 16 0 0 3.80131488344372 0 0
74 6 916.37 1 152.72 16 0.07 0.01 0 0.14 0.29 0.19 0.01 0.07 0.04 0.12 0 0 0.01 0 0.15 0 858.37 58 0 0 0 0.54 11 288 48 0.23 13 3 23 4 5119 "Y" 0 5 2 40 13.09 5 0 1 3.00022217882684 321.95 133.96
314 1 72.98 0 72.98 11 0.75 0 0 0 0 0 0 0 0 0 0 0 0.24 0 0 0 0 72.98 0 0 72.98 0.54 4 314 314 0 2 0 3 1 462 "Y" 0 1 0 0 157 35 0 0 4.14043266641486 0 0
313 1 121.5 0 121.5 11 0 0 0 0 0.66 0 0 0.33 0 0 0 0 0 0 0 0 0 121.5 0 0 121.5 0.59 12 313 313 0.25 2 0 2 1 4632 "N" 0 4 0 0 104.33 15 0 0 4.01728351608564 0 0
46 2 138.95 0 69.47 11 0.48 0 0 0.12 0 0 0 0.38 0 0 0 0 0 0 0 0 0 138.95 0 0 0 0.52 2 462 231 0.3 3 0 6 2 598 "Y" 0 0 0 0 154 23 0 0 3.68887945411394 89.96 48.99
275 3 251.25 0 83.75 11 0.37 0 0 0 0.27 0 0.35 0 0 0 0 0 0 0 0 0 0 251.25 0 0 147 0.63 14 324 108 0.11 4 0 7 1 723 "Y" 0 4 0 0 108 36 0 0 3.52282486978385 0 0
269 1 84.5 0 84.5 11 0.3 0 0 0 0 0.69 0 0 0 0 0 0 0 0 0.69 0 0 84.5 0 0 0 0.63 2 269 269 0.09 2 0 2 1 4513 "Y" 0 1 0 0 269 42 0 0 4.66917731596238 0 0
110 7 1047.49 1 149.64 11 0.05 0.03 0 0.09 0.43 0.04 0.08 0.19 0 0 0 0.02 0 0.03 0.19 0 20.03 1027.46 0 0 0 0.63 21 669 95.57 0.15 16 0 25 2 721 "Y" 0 9 2 22.22 39.35 8 0 0 3.3541057741283 0 165
278 1 79.96 0 79.96 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 79.96 0 0 0 0.26 0 563 563 0 1 0 2 1 773 "Y" 0 0 0 0 281.5 40 0 0 4.60517018598809 0 0
15 9 273.09 1 30.34 11 0.31 0.06 0.16 0.008695 0.08 0 0 0 0.15 0 0 0.1 0 0.01 0 0 64.99 208.1 0 19.99 67 0.35 21 568 63.11 0.3 16 0 36 3 4672 "Y" 0 9 2 22.22 14.94 10 1.1 0 3.61172839492552 77.95 37.5
5 1 200 1 200 16 0.68 0 0 0 0 0 0 0.32 0 0 0 0 0 0 0 0 152 48 0 200 0 0.69 3 441 441 0 2 0 4 2 2724 "Y" 0 1 0 0 147 0 0 0 4.03388659318499 0 0
35 5 662.43 0 132.48 11 0.16 0.06 0 0.17 0.14 0.08 0 0.03 0.24 0 0 0.01 0.07 0 0 0 216.47 445.96 0 0 0 0.58 7 232 46.4 0.22 13 1 21 5 167 "N" 0 1 1 100 23.2 3 0 0 2.74019465442878 453.95 148.5
68 3 204.78 1 68.26 16 0 0.12 0 0 0.1 0.07 0 0.13 0.14 0 0 0 0 0 0 0 81.97 122.81 0 0 0 0.41 4 108 36 0.24 5 1 9 2 2664 "Y" 0 0 0 0 4.9 16 0.71 1 1.96290772542388 19.98 184.8
150 3 532.29 0 177.43 11 0.08 0 0.11 0.1 0 0.2 0.03 0 0 0.24 0 0 0.14 0 0.1 0 0 532.29 0 0 0 0.62 16 592 197.33 0.06 7 0 10 1 304 "N" 0 6 1 16.67 118.4 4 0.07 0 2.80517691183293 0 237.99
243 5 162.71 1 32.54 19 0.1 0.07 0 0.04 0.06 0 0 0.19 0.07 0 0 0 0 0 0 0 132.73 29.98 0 0 102.74 0.4 20 657 131.4 0.19 7 0 8 2 4164 "Y" 0 10 1 10 18.77 18 0.84 0 1.85785927093258 0 0
